id,file,vehicles,depots,garages,stations,products,changeover_cost_level,capacity_level,demand_level,stock_level,demand_probability,coordinate_strategy
001,MPVRP_001_s36_d8_p3.dat,1,8,3,36,3,normal,low,medium,low,0.418,uniform
002,MPVRP_002_s3_d6_p3.dat,8,6,5,3,3,normal,low,medium,high,0.726,corridor
003,MPVRP_003_s37_d2_p2.dat,6,2,3,37,2,normal,low,mixed,low,0.692,clustered
004,MPVRP_004_s14_d3_p4.dat,4,3,2,14,4,mixed,mixed,mixed,mixed,0.861,clustered
005,MPVRP_005_s36_d1_p3.dat,4,1,5,36,3,normal,mixed,mixed,medium,0.573,corridor
006,MPVRP_006_s29_d7_p5.dat,8,7,3,29,5,normal,low,low,mixed,0.795,corridor
007,MPVRP_007_s29_d7_p3.dat,8,7,2,29,3,mixed,low,medium,medium,0.565,uniform
008,MPVRP_008_s23_d7_p5.dat,5,7,4,23,5,high,medium,medium,medium,0.818,uniform
009,MPVRP_009_s11_d6_p3.dat,5,6,2,11,3,normal,medium,low,low,0.672,corridor
010,MPVRP_010_s38_d6_p2.dat,1,6,2,38,2,normal,medium,mixed,mixed,0.692,corridor
011,MPVRP_011_s47_d3_p6.dat,5,3,5,47,6,normal,mixed,mixed,mixed,0.73,corridor
012,MPVRP_012_s29_d2_p5.dat,6,2,3,29,5,high,medium,medium,low,0.851,clustered
013,MPVRP_013_s7_d2_p2.dat,5,2,5,7,2,high,large,low,mixed,0.751,uniform
014,MPVRP_014_s42_d7_p3.dat,1,7,2,42,3,mixed,mixed,high,low,0.486,clustered
015,MPVRP_015_s20_d7_p2.dat,10,7,3,20,2,mixed,medium,mixed,low,0.537,uniform
016,MPVRP_016_s10_d1_p2.dat,7,1,1,10,2,mixed,low,mixed,mixed,0.855,clustered
017,MPVRP_017_s32_d1_p6.dat,5,1,1,32,6,mixed,large,high,high,0.896,corridor
018,MPVRP_018_s34_d6_p4.dat,6,6,5,34,4,mixed,medium,medium,high,0.867,corridor
019,MPVRP_019_s47_d3_p6.dat,7,3,5,47,6,high,medium,mixed,mixed,0.748,corridor
020,MPVRP_020_s9_d6_p4.dat,1,6,5,9,4,high,mixed,high,high,0.687,uniform
021,MPVRP_021_s12_d3_p4.dat,10,3,2,12,4,mixed,mixed,medium,low,0.786,uniform
022,MPVRP_022_s19_d7_p3.dat,6,7,3,19,3,normal,mixed,high,low,0.451,corridor
023,MPVRP_023_s27_d5_p5.dat,4,5,1,27,5,normal,large,high,high,0.617,clustered
024,MPVRP_024_s31_d4_p3.dat,3,4,3,31,3,mixed,mixed,low,mixed,0.819,uniform
025,MPVRP_025_s16_d6_p4.dat,6,6,3,16,4,normal,large,medium,low,0.43,clustered
026,MPVRP_026_s35_d2_p2.dat,2,2,3,35,2,high,low,mixed,low,0.598,corridor
027,MPVRP_027_s19_d6_p5.dat,6,6,4,19,5,normal,medium,high,medium,0.839,uniform
028,MPVRP_028_s11_d1_p4.dat,5,1,5,11,4,normal,large,low,low,0.729,uniform
029,MPVRP_029_s32_d4_p3.dat,6,4,3,32,3,mixed,low,high,medium,0.498,uniform
030,MPVRP_030_s5_d6_p4.dat,1,6,5,5,4,high,large,mixed,high,0.821,corridor
031,MPVRP_031_s46_d1_p4.dat,7,1,3,46,4,normal,low,high,medium,0.484,uniform
032,MPVRP_032_s45_d2_p3.dat,8,2,3,45,3,normal,mixed,high,high,0.606,uniform
033,MPVRP_033_s10_d7_p6.dat,9,7,3,10,6,high,mixed,medium,low,0.604,uniform
034,MPVRP_034_s13_d1_p6.dat,8,1,4,13,6,normal,low,medium,mixed,0.513,corridor
035,MPVRP_035_s21_d6_p6.dat,7,6,3,21,6,high,mixed,medium,mixed,0.473,uniform
036,MPVRP_036_s14_d3_p6.dat,7,3,5,14,6,mixed,large,medium,medium,0.461,uniform
037,MPVRP_037_s23_d7_p6.dat,4,7,1,23,6,high,mixed,mixed,mixed,0.652,corridor
038,MPVRP_038_s11_d1_p3.dat,7,1,4,11,3,high,large,low,low,0.526,corridor
039,MPVRP_039_s24_d4_p3.dat,3,4,2,24,3,mixed,mixed,medium,high,0.774,uniform
040,MPVRP_040_s44_d8_p6.dat,2,8,4,44,6,normal,large,medium,high,0.752,clustered
041,MPVRP_041_s48_d5_p2.dat,4,5,1,48,2,high,low,high,mixed,0.484,uniform
042,MPVRP_042_s23_d2_p2.dat,5,2,5,23,2,high,large,high,mixed,0.661,uniform
043,MPVRP_043_s33_d1_p3.dat,7,1,4,33,3,mixed,mixed,low,low,0.879,uniform
044,MPVRP_044_s38_d7_p5.dat,2,7,3,38,5,mixed,large,low,mixed,0.758,uniform
045,MPVRP_045_s4_d8_p2.dat,2,8,1,4,2,mixed,medium,mixed,mixed,0.488,corridor
046,MPVRP_046_s9_d1_p3.dat,9,1,2,9,3,mixed,medium,mixed,medium,0.46,clustered
047,MPVRP_047_s45_d8_p2.dat,3,8,5,45,2,normal,mixed,low,low,0.489,corridor
048,MPVRP_048_s50_d8_p6.dat,6,8,3,50,6,normal,low,mixed,medium,0.884,clustered
049,MPVRP_049_s26_d6_p2.dat,10,6,2,26,2,mixed,large,medium,mixed,0.473,clustered
050,MPVRP_050_s12_d4_p3.dat,6,4,3,12,3,high,mixed,high,low,0.64,uniform
051,MPVRP_051_s14_d7_p4.dat,10,7,2,14,4,normal,large,medium,mixed,0.425,corridor
052,MPVRP_052_s10_d3_p6.dat,4,3,2,10,6,high,mixed,low,low,0.653,corridor
053,MPVRP_053_s11_d3_p2.dat,6,3,2,11,2,high,mixed,low,mixed,0.614,clustered
054,MPVRP_054_s21_d4_p5.dat,4,4,3,21,5,normal,medium,high,low,0.401,corridor
055,MPVRP_055_s25_d8_p2.dat,5,8,3,25,2,normal,low,low,medium,0.426,uniform
