id,file,vehicles,depots,garages,stations,products,changeover_cost_level,capacity_level,demand_level,stock_level,demand_probability,coordinate_strategy
001,MPVRP_001_s48_d1_p1.dat,4,1,4,48,1,mixed,mixed,high,medium,0.746,uniform
002,MPVRP_002_s22_d5_p5.dat,8,5,1,22,5,mixed,medium,medium,low,0.663,clustered
003,MPVRP_003_s3_d7_p5.dat,8,7,4,3,5,mixed,low,low,medium,0.697,uniform
004,MPVRP_004_s44_d4_p2.dat,4,4,4,44,2,mixed,large,high,low,0.615,uniform
005,MPVRP_005_s43_d6_p2.dat,2,6,5,43,2,mixed,low,low,low,0.609,uniform
006,MPVRP_006_s28_d6_p6.dat,3,6,3,28,6,normal,mixed,medium,mixed,0.713,corridor
007,MPVRP_007_s36_d8_p2.dat,1,8,3,36,2,normal,mixed,high,mixed,0.418,uniform
008,MPVRP_008_s3_d6_p2.dat,8,6,5,3,2,high,mixed,medium,medium,0.726,corridor
009,MPVRP_009_s37_d2_p1.dat,6,2,3,37,1,mixed,mixed,high,high,0.692,clustered
010,MPVRP_010_s14_d3_p4.dat,4,3,2,14,4,mixed,mixed,low,mixed,0.861,clustered
011,MPVRP_011_s36_d1_p2.dat,4,1,5,36,2,mixed,large,medium,high,0.573,corridor
012,MPVRP_012_s29_d7_p4.dat,8,7,3,29,4,mixed,medium,medium,high,0.795,corridor
013,MPVRP_013_s29_d7_p2.dat,8,7,2,29,2,low,large,medium,low,0.565,uniform
014,MPVRP_014_s23_d7_p4.dat,5,7,4,23,4,mixed,mixed,mixed,low,0.818,uniform
015,MPVRP_015_s11_d6_p3.dat,5,6,2,11,3,normal,large,medium,medium,0.672,corridor
016,MPVRP_016_s38_d6_p1.dat,1,6,2,38,1,low,mixed,high,mixed,0.692,corridor
017,MPVRP_017_s47_d3_p5.dat,5,3,5,47,5,high,large,mixed,high,0.73,corridor
018,MPVRP_018_s29_d2_p5.dat,6,2,3,29,5,mixed,large,high,medium,0.851,clustered
019,MPVRP_019_s7_d2_p1.dat,5,2,5,7,1,mixed,medium,high,low,0.751,uniform
020,MPVRP_020_s42_d7_p2.dat,1,7,2,42,2,normal,medium,medium,low,0.486,clustered
021,MPVRP_021_s20_d7_p1.dat,10,7,3,20,1,normal,mixed,medium,high,0.537,uniform
022,MPVRP_022_s10_d1_p2.dat,7,1,1,10,2,mixed,low,low,mixed,0.855,clustered
023,MPVRP_023_s32_d1_p6.dat,5,1,1,32,6,high,low,mixed,low,0.896,corridor
024,MPVRP_024_s34_d6_p3.dat,6,6,5,34,3,mixed,mixed,high,low,0.867,corridor
025,MPVRP_025_s47_d3_p6.dat,7,3,5,47,6,mixed,large,mixed,mixed,0.748,corridor
026,MPVRP_026_s9_d6_p4.dat,1,6,5,9,4,high,medium,high,medium,0.687,uniform
027,MPVRP_027_s12_d3_p3.dat,10,3,2,12,3,high,low,low,mixed,0.786,uniform
028,MPVRP_028_s19_d7_p2.dat,6,7,3,19,2,high,large,low,low,0.451,corridor
029,MPVRP_029_s27_d5_p5.dat,4,5,1,27,5,mixed,mixed,low,medium,0.617,clustered
030,MPVRP_030_s31_d4_p2.dat,3,4,3,31,2,high,mixed,mixed,medium,0.819,uniform
031,MPVRP_031_s16_d6_p4.dat,6,6,3,16,4,high,medium,mixed,high,0.43,clustered
032,MPVRP_032_s35_d2_p1.dat,2,2,3,35,1,low,low,high,medium,0.598,corridor
033,MPVRP_033_s19_d6_p5.dat,6,6,4,19,5,high,large,high,medium,0.839,uniform
034,MPVRP_034_s11_d1_p4.dat,5,1,5,11,4,high,large,low,medium,0.729,uniform
035,MPVRP_035_s32_d4_p2.dat,6,4,3,32,2,normal,low,medium,low,0.498,uniform
036,MPVRP_036_s5_d6_p3.dat,1,6,5,5,3,high,medium,high,low,0.821,corridor
037,MPVRP_037_s46_d1_p4.dat,7,1,3,46,4,high,mixed,low,low,0.484,uniform
038,MPVRP_038_s45_d2_p2.dat,8,2,3,45,2,normal,mixed,medium,low,0.606,uniform
039,MPVRP_039_s10_d7_p6.dat,9,7,3,10,6,normal,large,high,medium,0.604,uniform
040,MPVRP_040_s13_d1_p5.dat,8,1,4,13,5,mixed,low,mixed,mixed,0.513,corridor
041,MPVRP_041_s21_d6_p6.dat,7,6,3,21,6,low,low,medium,medium,0.473,uniform
042,MPVRP_042_s14_d3_p6.dat,7,3,5,14,6,low,large,low,medium,0.461,uniform
043,MPVRP_043_s23_d7_p6.dat,4,7,1,23,6,normal,mixed,low,medium,0.652,corridor
044,MPVRP_044_s11_d1_p2.dat,7,1,4,11,2,low,medium,high,medium,0.526,corridor
045,MPVRP_045_s24_d4_p3.dat,3,4,2,24,3,normal,large,low,mixed,0.774,uniform
046,MPVRP_046_s44_d8_p6.dat,2,8,4,44,6,mixed,large,mixed,high,0.752,clustered
047,MPVRP_047_s48_d5_p1.dat,4,5,1,48,1,mixed,medium,mixed,mixed,0.484,uniform
048,MPVRP_048_s23_d2_p1.dat,5,2,5,23,1,high,medium,medium,medium,0.661,uniform
049,MPVRP_049_s33_d1_p2.dat,7,1,4,33,2,normal,low,medium,mixed,0.879,uniform
050,MPVRP_050_s38_d7_p5.dat,2,7,3,38,5,high,mixed,mixed,low,0.758,uniform
051,MPVRP_051_s4_d8_p1.dat,2,8,1,4,1,mixed,large,low,high,0.488,corridor
052,MPVRP_052_s9_d1_p2.dat,9,1,2,9,2,high,mixed,medium,high,0.46,clustered
053,MPVRP_053_s45_d8_p1.dat,3,8,5,45,1,mixed,low,high,medium,0.489,corridor
054,MPVRP_054_s50_d8_p6.dat,6,8,3,50,6,high,medium,mixed,medium,0.884,clustered
055,MPVRP_055_s26_d6_p1.dat,10,6,2,26,1,mixed,large,high,mixed,0.473,clustered
056,MPVRP_056_s12_d4_p2.dat,6,4,3,12,2,low,large,mixed,high,0.64,uniform
057,MPVRP_057_s14_d7_p4.dat,10,7,2,14,4,high,low,high,mixed,0.425,corridor
058,MPVRP_058_s10_d3_p6.dat,4,3,2,10,6,mixed,medium,low,medium,0.653,corridor
059,MPVRP_059_s11_d3_p1.dat,6,3,2,11,1,high,medium,high,high,0.614,clustered
060,MPVRP_060_s21_d4_p5.dat,4,4,3,21,5,low,low,low,medium,0.401,corridor
061,MPVRP_061_s25_d8_p1.dat,5,8,3,25,1,normal,low,high,medium,0.426,uniform
